uid,total_games,taxa_acordo,js_medio
e3a758cbead0ee05182a7d607f38d6f3,9,0.7925925925925926,0.14784662287944725
6d0b61cff6c87f8b3004bcda36a427c3,1,0.6938775510204082,0.16556695764174778
11e9e8df819277ab9b4785edbe82a218,3,0.8363636363636363,0.138591927268779
91e1e24914e692048f58e6235471d198,1,0.35294117647058826,0.6026536553879945
c848df701eedbb78a71866b85bd86c50,1,0.48,0.4786766709848715
f67881e37a72e0acf67fd9e94f1a7d75,4,0.6864406779661016,0.18024208770673586
5824f48f6db13494f9a812ee68c6de54,1,0.9090909090909091,0.08030370651876216
ecb0777dd64d08ece8c384769d3a783b,1,0.9333333333333333,0.06666666457733014
6ec634e446dc95a3b5653a9c407ab022,2,0.8620689655172413,0.06923342022267333
3be5173b947f6358107dd3728fbcb985,32,0.7336601307189542,0.20489198093314404
a3a8e71d26580315d7582d01157cfae9,1,0.6,0.2721136008553489
a96893039b533dbbc41e48478252aa94,2,0.75,0.2102660381923893
d134eca3406f18b8ec4dcade0b5d7135,7,0.7948717948717948,0.14363765336828885
59c0f39a9bccac3d7277d711b71f911e,15,0.655,0.23749618051187107
3caecfb90a7f689da05cf10380ddd0a2,5,0.6963350785340314,0.22889692890406774
d010bc69f52601c8118e33eaf0133ac8,14,0.7796143250688705,0.17751829160969726
6136eb99c678f9892c5e18bf58897eac,6,0.8267716535433071,0.13643162274996884
a466099afffd71c7d07457f0cba850f0,8,0.7946428571428571,0.15693220833956806
91116f62e6b08955d1c434523751aa5b,2,0.5225225225225225,0.26125907421448025
00820a09607ed62de6a322502d5d83c9,3,0.8072289156626506,0.14851585768393
2c1214a6c26701373633408e77bfd569,1,0.9565217391304348,0.01996295163857378
e7999cce27ea21c1336f16dd778086e0,1,0.8947368421052632,0.08082731594639359
0e64512c0d21e5e881bfb7c90bb6e52d,7,0.8555555555555555,0.08041670192929333
3001bb06c1f83cb372700190fbf29110,2,0.618421052631579,0.29967629059560985
17faabefc98110d78900d3850a5c963a,1,0.7333333333333333,0.2551879606580146
f3fb9742342f75616e8515269a21796c,7,0.7577854671280276,0.15357433097244946
9964166ccef46e00e9e60f2d7fd1e2c2,6,0.6007604562737643,0.2941030122811459
86a6524202014958e90c876d13751749,3,0.7872340425531915,0.12147971295433657
fe38b4896728fa02ea9bdb8faf39cabb,3,0.7956989247311828,0.1129651948839525
62c93f643811675e1e1c9e578e8c3dc4,1,1.0,0.0
36129d0e919f98330cee129b7a94f9de,3,0.7151515151515152,0.19388644775208652
0337999a834479a1086a63219045dfff,5,0.80625,0.11150954968605895
dea4225f6cb362373b4030d9cf1306fb,9,0.7883211678832117,0.1517077231043688
12c30cb319d7d1fe1acb0dd06082cc3d,1,0.8333333333333334,0.09354634967984539
157e027b18effa1bf45f231385655537,1,0.6538461538461539,0.2002466468083473
51682a3390443c138de616276a0af806,6,0.8421052631578947,0.10884667003628694
51271327b5d85e64ee79ca4b06106d76,2,0.7192982456140351,0.1513994924310174
5963b9a404d8ced1be664ab926f89310,11,0.8060836501901141,0.10451031337404836
19765efd880a221f0aae9d673e83b000,6,0.9078947368421053,0.052938258547371594
ce79d5be4ce94b2e540c40491f3c2e8d,14,0.7740963855421686,0.13418496472550906
71a07bd80d8b99d093dc1a31e6d3bc8c,1,0.6538461538461539,0.3581260697250436
07fb47c4b95e3edf8f4cef79d2524866,3,0.6081081081081081,0.3302110330041241
0b30ca6b5000230426a88a0bf248198c,1,0.9,0.06556390391207713
d5c388cc32a40da6ac07843ab734d1a6,3,0.6804123711340206,0.2477430539146321
6975e1b20b644c8ab8084a278f535094,1,0.5714285714285714,0.3582936729207565
2f3a175d7461a38ce229ec4b8d0015af,10,0.6437054631828979,0.24422115373066
f5f3a4a5ef7aa6d912d6ddbd1f4d78fb,5,0.9247311827956989,0.0383515640012516
bff101f9c78a0b8dbc145c0dde66acdb,9,0.8297213622291022,0.09627819106993354
013fc3c8f73d53609cff0eff0bb177e1,47,0.7571656050955414,0.16465880323685225
4175268171580654454ce46cdb9d8852,3,0.7777777777777778,0.1740076466386938
24500e18aa91ac618d01a2668b723646,10,0.6875,0.21592976944439302
54718345a65c7b1881aa3367127969fc,1,0.6470588235294118,0.21776088492478188
d261156f92def5e515513e67efede83e,1,0.6666666666666666,0.19558895107097835
6f0b0dd1fe2b9c3943b996fe2364bd2c,1,0.6666666666666666,0.30463657814713463
3c2f5639763e5433fdb4cd49573a83b6,1,0.5106382978723404,0.43916866601294163
6481ca248ae84a0150a7fbeacecbeb7c,1,0.7307692307692307,0.2813685798814812
f0ef56e81668a1be1aba480f99dcb03f,1,0.6551724137931034,0.22565853748733283
76b36fb83df7f69dd452bd85aac51b51,3,0.7127659574468085,0.1406974676338452
619c9a50b509515143f0f5daea4b0b75,5,0.7570621468926554,0.13884395818732928
a6ea9c6b0936253d08238d115e06255c,2,0.8793103448275862,0.049442562519818864
7baf0037807ec9b4c1c157d977c80578,1,0.7804878048780488,0.11211639733727598
