maze_name,complexidade_hibrida,taxa_acordo,js_divergencia,desvio_pct,n_estados,n_partidas,media_reflexoes,media_voltas,mediana_tempo,p90_backtracks,fluidez,sinuosidade,norm_reflexoes,norm_voltas,norm_tempo,norm_risco,norm_fluidez,score_base,score_final_raw
Shipstocruces,18.36,0.7373,0.2004,0.2627,317,211,3.1137440758293837,20.834123222748815,29.7891,30.0,0.2401845564551232,0.3826934795856185,0.13533901586418742,0.16493769973304867,0.16061791204104547,0.12425447316103377,0.6196779383637683,0.14113775494581443,0.017202167273060773
Lake Montste,38.4,0.7373,0.2238,0.2627,256,180,7.955555555555556,38.044444444444444,58.5206,60.0,0.26538483679696045,0.39422025214437856,0.38539745787681684,0.31932325477444856,0.35591916171209936,0.2733598409542743,0.7481802532208143,0.350486854949128,0.20085080430496516
Gazelle Plains,34.82,0.7388,0.211,0.2612,380,71,6.23943661971831,38.70422535211268,55.42615,55.0,0.24568359125207828,0.35145159227522704,0.2967674008825072,0.32524183353448194,0.33488475863378486,0.24850894632206755,0.6477188447069814,0.2975866247858723,0.168042855844476
La Stryrest,14.22,0.739,0.1885,0.261,342,217,2.525345622119816,18.253456221198157,26.44508,29.0,0.2548104400838255,0.37730996380262904,0.10495080243759282,0.1417877711361802,0.13788706663008546,0.11928429423459241,0.6942588508624976,0.11808845050535002,-0.020763319667149505
Kingston Vale,74.55,0.7395,0.2101,0.2605,523,70,15.085714285714285,69.27142857142857,98.97724500000001,135.0,0.2756694720734506,0.37100229533282325,0.7536390531623637,0.5994455845445633,0.6309216268113178,0.6461232604373756,0.8006240920417386,0.6921730624853769,0.5320482440770292
Dragons Descent,52.8,0.7399,0.2065,0.2601,570,169,9.994082840236686,54.13609467455621,73.68338,98.2000000000001,0.25924320575614407,0.3965584500021672,0.49067849968153165,0.46367374773190134,0.4589875668593162,0.4632206759443344,0.7168625934552382,0.4761482731746861,0.3327757544836385
Honeysuckle Harbor,28.4,0.7405,0.1777,0.2595,317,72,5.777777777777778,31.805555555555557,43.652755,53.0,0.2679520267192956,0.34765447092758467,0.27292473554116,0.2633571684042236,0.25485556571413437,0.23856858846918483,0.7612709745629124,0.26148291544766616,0.10922872053508367
West Sportnga,53.33,0.7405,0.1908,0.2595,317,179,10.446927374301676,51.374301675977655,97.16618,76.20000000000002,0.273394930111348,0.3631051093737661,0.5140659444708175,0.43889902450026874,0.6186109831715666,0.3538767395626243,0.7890256533178478,0.49542041923227387,0.33761528856870426
Saint Charlerush,24.87,0.7409,0.1832,0.2591,302,180,5.027777777777778,25.266666666666666,41.158694999999994,38.0,0.2570405339410711,0.37017743773400613,0.234190507185768,0.2046999256101409,0.23790229022365914,0.16401590457256457,0.7056306379663411,0.21794888511314284,0.07682275751987461
East Amppriest,19.9,0.7412,0.1823,0.2588,314,214,3.6728971962616823,18.929906542056074,29.966545,32.0,0.2409983308163103,0.3219934822351164,0.16421683540079365,0.1478558832241714,0.16182408750170293,0.13419483101391647,0.6238275703426732,0.15609778972593785,0.03133227565740321
Staincanchar River,30.13,0.7428,0.2089,0.2572,487,175,5.074285714285714,32.93714285714286,58.77966,49.0,0.2519236417033774,0.33856093979442,0.23659243922981663,0.2735080965236316,0.3576801119492879,0.21868787276341944,0.6795383688130465,0.26092062620981293,0.12501295244720362
Lionsmane Meadow,53.44,0.7433,0.1892,0.2567,632,163,9.9079754601227,54.92638036809816,70.54398,93.40000000000003,0.24314081560143697,0.35344044846235834,0.4862314291156387,0.47076302246809537,0.4376476179106951,0.43936381709741557,0.6347526176318378,0.4655943038062511,0.3386437802798835
New Hawkntonqa,10.85,0.744,0.2144,0.256,169,205,0.6487804878048781,4.736585365853658,8.497365,11.0,0.18416137467314156,0.18135973104221143,0.008034399189163901,0.020534391693464573,0.015888174534652966,0.029821073558648103,0.33400220591210017,0.015212488382588624,-0.051587952799831416
West Wyvernhaven,24.83,0.7442,0.2289,0.2558,388,181,5.337016574585635,29.386740331491712,39.3829,50.0,0.27815277684956224,0.35547684287910175,0.25016134208163765,0.24165913464300984,0.22583139303208863,0.22365805168986078,0.813287062766557,0.23914447344950968,0.07648706089619825
North Royali,61.85,0.7458,0.2211,0.2542,650,165,11.072727272727272,64.17575757575757,92.66036,101.0,0.24212837837837836,0.3577364864864864,0.5463857793646818,0.5537347587650128,0.5879828476132829,0.47713717693836966,0.6295899557469031,0.5415903704691727,0.41567237931979206
